source.name	sequenceID	species	subtype	genotype	isolate_data.country	isolate_data.host_sci_name	isolate_data.collection_year
ncbi-nuccore-srlv	A15114	SRLV	A	A1	-	-	-
ncbi-nuccore-srlv	AB818536	SRLV	A	A3	Japan: Iwate	Ovis aries	-
ncbi-nuccore-srlv	AF015180	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF015181	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF015182	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105154	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105155	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105156	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105157	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105158	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105159	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105160	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105161	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105162	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105163	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105164	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105165	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105166	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105167	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105168	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105169	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105170	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105171	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105172	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105173	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105174	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105175	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105176	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105177	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105178	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105179	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105180	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105181	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105182	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105183	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105184	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105185	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105186	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105187	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105188	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105189	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105190	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105191	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105192	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105193	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105194	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105195	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105196	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105197	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF105198	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156858	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156859	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156860	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156861	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156862	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156863	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156864	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156865	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156866	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156867	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156868	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156869	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156870	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156871	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156872	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156873	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156874	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156875	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156876	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF156877	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF322851	SRLV	BC	-	-	-	-
ncbi-nuccore-srlv	AF322852	SRLV	BC	-	-	-	-
ncbi-nuccore-srlv	AF322853	SRLV	BC	-	-	-	-
ncbi-nuccore-srlv	AF322854	SRLV	-	-	-	-	-
ncbi-nuccore-srlv	AF322855	SRLV	BC	-	-	-	-
ncbi-nuccore-srlv	AF322856	SRLV	BC	-	-	-	-
ncbi-nuccore-srlv	AF338226	SRLV	A	A3	-	-	-
ncbi-nuccore-srlv	AF338227	SRLV	A	A1	-	-	-
ncbi-nuccore-srlv	AF362293	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362294	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362295	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362296	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362297	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362298	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362299	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362300	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362301	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362302	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362303	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362304	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362305	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362306	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362307	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362308	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362309	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362310	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362311	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362312	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362313	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362314	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362315	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362316	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362317	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362318	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362319	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362320	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362321	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362322	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362323	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362324	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF362325	SRLV	BC	B1	-	-	-
ncbi-nuccore-srlv	AF402664	SRLV	BC	B1	Brazil	-	-
ncbi-nuccore-srlv	AF402665	SRLV	BC	B1	Brazil	-	-
ncbi-nuccore-srlv	AF402666	SRLV	BC	B1	Brazil	-	-
ncbi-nuccore-srlv	AF402667	SRLV	BC	B1	Brazil	-	-
ncbi-nuccore-srlv	AF402668	SRLV	BC	B1	Brazil	-	-
ncbi-nuccore-srlv	AF474005	SRLV	A	A1	-	-	-
ncbi-nuccore-srlv	AF474006	SRLV	A	A1	-	-	-
ncbi-nuccore-srlv	AF474007	SRLV	A	A1	-	-	-
ncbi-nuccore-srlv	AJ305039	SRLV	A	-	Brazil:Parana	-	-
ncbi-nuccore-srlv	AJ305040	SRLV	BC	B1	Brazil:Rio Grande do Sul	-	-
ncbi-nuccore-srlv	AJ305041	SRLV	BC	B1	Brazil:Rio Grande do Sul	-	-
ncbi-nuccore-srlv	AJ305042	SRLV	BC	B1	Brazil:Rio Grande do Sul	-	-
ncbi-nuccore-srlv	AJ305050	SRLV	A	-	Brazil:Parana	-	-
ncbi-nuccore-srlv	AJ305051	SRLV	BC	B1	Brazil:Rio Grande do Sul	-	-
ncbi-nuccore-srlv	AJ305052	SRLV	BC	B1	Brazil:Rio Grande do Sul	-	-
ncbi-nuccore-srlv	AJ305053	SRLV	BC	B1	Brazil:Rio Grande do Sul	-	-
ncbi-nuccore-srlv	AJ400718	SRLV	BC	B1	France:western	Capra hircus	-
ncbi-nuccore-srlv	AJ400719	SRLV	BC	B1	France:western	Capra hircus	-
ncbi-nuccore-srlv	AJ400720	SRLV	BC	B1	France:western	Capra hircus	-
ncbi-nuccore-srlv	AJ400721	SRLV	BC	B1	France:western	Capra hircus	-
ncbi-nuccore-srlv	AJ969032	SRLV	A	A1	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969033	SRLV	A	A1	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969034	SRLV	A	A1	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969035	SRLV	A	A1	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969036	SRLV	A	A1	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969037	SRLV	A	A1	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969038	SRLV	A	-	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969039	SRLV	A	-	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969040	SRLV	A	-	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969041	SRLV	A	-	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969042	SRLV	A	-	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AJ969043	SRLV	A	-	Ireland	Capra hircus	-
ncbi-nuccore-srlv	AM084203	SRLV	A	A3	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084204	SRLV	A	A3	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084205	SRLV	A	A3	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084206	SRLV	A	-	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084207	SRLV	A	A3	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084208	SRLV	A	-	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084209	SRLV	A	-	Finland	Capra hircus	-
ncbi-nuccore-srlv	AM084210	SRLV	A	A1	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084211	SRLV	A	A1	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084212	SRLV	A	A1	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084213	SRLV	A	-	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084214	SRLV	A	-	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM084215	SRLV	A	-	Finland	Capra hircus	-
ncbi-nuccore-srlv	AM419950	SRLV	A	-	Finland	Ovis aries	-
ncbi-nuccore-srlv	AM419951	SRLV	A	-	Finland	Ovis aries	-
